Date : 2025-03-22 23:01:37
Directory : /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend
Total : 221 files,  46379 codes, 4601 comments, 5575 blanks, all 56555 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| pages/friends (Files)                                                                                                          |          1 |        263 |         16 |         20 |        299 |
| pages/friends/components                                                                                                       |          4 |        985 |        159 |        102 |      1,246 |
| pages/home                                                                                                                     |          5 |      1,408 |        196 |        178 |      1,782 |
| pages/home (Files)                                                                                                             |          1 |        342 |         31 |         48 |        421 |
| pages/home/components                                                                                                          |          4 |      1,066 |        165 |        130 |      1,361 |
| pages/index                                                                                                                    |          1 |        116 |          8 |         12 |        136 |
| pages/members                                                                                                                  |          9 |      1,476 |        142 |        251 |      1,869 |
| pages/members (Files)                                                                                                          |          2 |        558 |         60 |         82 |        700 |
| pages/members/components                                                                                                       |          7 |        918 |         82 |        169 |      1,169 |
| pages/members/components (Files)                                                                                               |          5 |        809 |         69 |        147 |      1,025 |
| pages/members/components/profile                                                                                               |          2 |        109 |         13 |         22 |        144 |
| pages/page-template                                                                                                            |          1 |         39 |          4 |          5 |         48 |
| pages/reset-password                                                                                                           |          1 |         87 |          7 |         12 |        106 |
| pages/shop                                                                                                                     |          3 |        986 |        106 |         98 |      1,190 |
| pages/shop (Files)                                                                                                             |          1 |        307 |         41 |         34 |        382 |
| pages/shop/[products]                                                                                                          |          1 |        287 |         42 |         23 |        352 |
| pages/shop/components                                                                                                          |          1 |        392 |         23 |         41 |        456 |
| plugins                                                                                                                        |          3 |         30 |          9 |         16 |         55 |
| presets                                                                                                                        |         86 |      8,493 |      2,403 |      2,002 |     12,898 |
| presets/nsight_style_presets                                                                                                   |         86 |      8,493 |      2,403 |      2,002 |     12,898 |
| presets/nsight_style_presets (Files)                                                                                           |          2 |        258 |          0 |          9 |        267 |
| presets/nsight_style_presets/accordion                                                                                         |          1 |         57 |         12 |         10 |         79 |
| presets/nsight_style_presets/autocomplete                                                                                      |          1 |        159 |         53 |         48 |        260 |
| presets/nsight_style_presets/avatar                                                                                            |          1 |         28 |          5 |          5 |         38 |
| presets/nsight_style_presets/badge                                                                                             |          1 |         33 |          5 |          6 |         44 |
| presets/nsight_style_presets/badgedirective                                                                                    |          1 |         32 |          6 |          6 |         44 |
| presets/nsight_style_presets/blockui                                                                                           |          1 |          8 |          0 |          1 |          9 |
| presets/nsight_style_presets/breadcrumb                                                                                        |          1 |         38 |         15 |         12 |         65 |
| presets/nsight_style_presets/button                                                                                            |          1 |        140 |         52 |         29 |        221 |
| presets/nsight_style_presets/calendar                                                                                          |          1 |        413 |        130 |        101 |        644 |
| presets/nsight_style_presets/card                                                                                              |          1 |         29 |          5 |          4 |         38 |
| presets/nsight_style_presets/carousel                                                                                          |          1 |         97 |         31 |         22 |        150 |
| presets/nsight_style_presets/cascadeselect                                                                                     |          1 |        137 |         40 |         33 |        210 |
| presets/nsight_style_presets/checkbox                                                                                          |          1 |         65 |         19 |         18 |        102 |
| presets/nsight_style_presets/chip                                                                                              |          1 |         29 |          9 |          8 |         46 |
| presets/nsight_style_presets/chips                                                                                             |          1 |         69 |         24 |         22 |        115 |
| presets/nsight_style_presets/colorpicker                                                                                       |          1 |         76 |         27 |         21 |        124 |
| presets/nsight_style_presets/confirmpopup                                                                                      |          1 |         72 |         18 |         17 |        107 |
| presets/nsight_style_presets/contextmenu                                                                                       |          1 |         90 |         19 |         14 |        123 |
| presets/nsight_style_presets/datatable                                                                                         |          1 |        737 |        225 |        209 |      1,171 |
| presets/nsight_style_presets/dataview                                                                                          |          1 |         26 |          8 |          7 |         41 |
| presets/nsight_style_presets/dialog                                                                                            |          1 |        168 |         37 |         31 |        236 |
| presets/nsight_style_presets/divider                                                                                           |          1 |         49 |         10 |          9 |         68 |
| presets/nsight_style_presets/dock                                                                                              |          1 |         60 |         19 |         15 |         94 |
| presets/nsight_style_presets/dropdown                                                                                          |          1 |        172 |         52 |         42 |        266 |
| presets/nsight_style_presets/fieldset                                                                                          |          1 |         57 |         15 |         13 |         85 |
| presets/nsight_style_presets/fileupload                                                                                        |          1 |        120 |         29 |         25 |        174 |
| presets/nsight_style_presets/floatlabel                                                                                        |          1 |         20 |          3 |          4 |         27 |
| presets/nsight_style_presets/galleria                                                                                          |          1 |        212 |         51 |         44 |        307 |
| presets/nsight_style_presets/iconfield                                                                                         |          1 |         20 |          0 |          1 |         21 |
| presets/nsight_style_presets/image                                                                                             |          1 |        115 |         47 |         45 |        207 |
| presets/nsight_style_presets/inlinemessage                                                                                     |          1 |         35 |          1 |          1 |         37 |
| presets/nsight_style_presets/inplace                                                                                           |          1 |         14 |          7 |          7 |         28 |
| presets/nsight_style_presets/inputgroup                                                                                        |          1 |          5 |          0 |          1 |          6 |
| presets/nsight_style_presets/inputgroupaddon                                                                                   |          1 |         18 |          5 |          6 |         29 |
| presets/nsight_style_presets/inputmask                                                                                         |          1 |         22 |          6 |          7 |         35 |
| presets/nsight_style_presets/inputnumber                                                                                       |          1 |        107 |         30 |         28 |        165 |
| presets/nsight_style_presets/inputswitch                                                                                       |          1 |         54 |         13 |         14 |         81 |
| presets/nsight_style_presets/inputtext                                                                                         |          1 |         32 |          9 |          9 |         50 |
| presets/nsight_style_presets/knob                                                                                              |          1 |         28 |         10 |          7 |         45 |
| presets/nsight_style_presets/listbox                                                                                           |          1 |        101 |         29 |         23 |        153 |
| presets/nsight_style_presets/megamenu                                                                                          |          1 |        140 |         32 |         28 |        200 |
| presets/nsight_style_presets/menu                                                                                              |          1 |         73 |         18 |          6 |         97 |
| presets/nsight_style_presets/menubar                                                                                           |          1 |        119 |         31 |         27 |        177 |
| presets/nsight_style_presets/message                                                                                           |          1 |         64 |         14 |         10 |         88 |
| presets/nsight_style_presets/metergroup                                                                                        |          1 |         62 |         18 |         18 |         98 |
| presets/nsight_style_presets/multiselect                                                                                       |          1 |        348 |        107 |         92 |        547 |
| presets/nsight_style_presets/orderlist                                                                                         |          1 |        157 |         56 |         45 |        258 |
| presets/nsight_style_presets/organizationchart                                                                                 |          1 |         85 |         30 |         24 |        139 |
| presets/nsight_style_presets/overlaypanel                                                                                      |          1 |         32 |          4 |          5 |         41 |
| presets/nsight_style_presets/paginator                                                                                         |          1 |        320 |        110 |         98 |        528 |
| presets/nsight_style_presets/panel                                                                                             |          1 |         61 |         17 |         14 |         92 |
| presets/nsight_style_presets/panelmenu                                                                                         |          1 |         90 |         20 |         18 |        128 |
| presets/nsight_style_presets/password                                                                                          |          1 |         84 |         18 |         15 |        117 |
| presets/nsight_style_presets/picklist                                                                                          |          1 |        403 |        138 |        110 |        651 |
| presets/nsight_style_presets/progressbar                                                                                       |          1 |         36 |         11 |          9 |         56 |
| presets/nsight_style_presets/progressspinner                                                                                   |          1 |         34 |         10 |          8 |         52 |
| presets/nsight_style_presets/radiobutton                                                                                       |          1 |         66 |         20 |         19 |        105 |
| presets/nsight_style_presets/rating                                                                                            |          1 |         57 |         20 |         16 |         93 |
| presets/nsight_style_presets/ripple                                                                                            |          1 |          6 |          0 |          1 |          7 |
| presets/nsight_style_presets/scrollpanel                                                                                       |          1 |         39 |         21 |         18 |         78 |
| presets/nsight_style_presets/scrolltop                                                                                         |          1 |         32 |          5 |          5 |         42 |
| presets/nsight_style_presets/selectbutton                                                                                      |          1 |         34 |          9 |          7 |         50 |
| presets/nsight_style_presets/sidebar                                                                                           |          1 |        108 |         23 |         19 |        150 |
| presets/nsight_style_presets/skeleton                                                                                          |          1 |         12 |          2 |          3 |         17 |
| presets/nsight_style_presets/slider                                                                                            |          1 |         88 |         25 |         25 |        138 |
| presets/nsight_style_presets/speeddial                                                                                         |          1 |        177 |         66 |         40 |        283 |
| presets/nsight_style_presets/splitbutton                                                                                       |          1 |        308 |        126 |         69 |        503 |
| presets/nsight_style_presets/splitter                                                                                          |          1 |         41 |         11 |         10 |         62 |
| presets/nsight_style_presets/steps                                                                                             |          1 |         77 |         19 |         16 |        112 |
| presets/nsight_style_presets/tabmenu                                                                                           |          1 |         51 |         11 |         12 |         74 |
| presets/nsight_style_presets/tabview                                                                                           |          1 |        107 |         28 |         22 |        157 |
| presets/nsight_style_presets/tag                                                                                               |          1 |         27 |          5 |          5 |         37 |
| presets/nsight_style_presets/terminal                                                                                          |          1 |         40 |         13 |          8 |         61 |
| presets/nsight_style_presets/textarea                                                                                          |          1 |         23 |          7 |          7 |         37 |
| presets/nsight_style_presets/tieredmenu                                                                                        |          1 |         85 |         21 |         15 |        121 |
| presets/nsight_style_presets/timeline                                                                                          |          1 |         76 |          3 |          3 |         82 |
| presets/nsight_style_presets/toast                                                                                             |          1 |         74 |         13 |         10 |         97 |
| presets/nsight_style_presets/togglebutton                                                                                      |          1 |         62 |         15 |         15 |         92 |
| presets/nsight_style_presets/toolbar                                                                                           |          1 |         21 |          4 |          4 |         29 |
| presets/nsight_style_presets/tooltip                                                                                           |          1 |         36 |          6 |          5 |         47 |
| presets/nsight_style_presets/tree                                                                                              |          1 |        161 |         51 |         44 |        256 |
| presets/nsight_style_presets/treeselect                                                                                        |          1 |        223 |         69 |         58 |        350 |
| presets/nsight_style_presets/treetable                                                                                         |          1 |        285 |         80 |         67 |        432 |
| presets/nsight_style_presets/tristatecheckbox                                                                                  |          1 |         67 |         20 |         18 |        105 |
| public                                                                                                                         |          1 |         43 |          0 |          0 |         43 |
| public/assets                                                                                                                  |          1 |         43 |          0 |          0 |         43 |
| public/assets/emails                                                                                                           |          1 |         43 |          0 |          0 |         43 |
| server                                                                                                                         |         32 |      1,050 |        479 |        315 |      1,844 |
| server (Files)                                                                                                                 |          2 |          3 |         17 |         10 |         30 |
| server/api                                                                                                                     |         28 |      1,019 |        462 |        296 |      1,777 |
| server/api (Files)                                                                                                             |          1 |          3 |          0 |          1 |          4 |
| server/api/chat                                                                                                                |          4 |         34 |         54 |         34 |        122 |
| server/api/chat (Files)                                                                                                        |          1 |          5 |          0 |          5 |         10 |
| server/api/chat/actions                                                                                                        |          1 |          6 |         54 |         21 |         81 |
| server/api/chat/hooks                                                                                                          |          2 |         23 |          0 |          8 |         31 |
| server/api/email                                                                                                               |          3 |        341 |         14 |         32 |        387 |
| server/api/feed                                                                                                                |          1 |        193 |         14 |         28 |        235 |
| server/api/square                                                                                                              |         14 |        338 |        353 |        165 |        856 |
| server/api/square (Files)                                                                                                      |          9 |         35 |        334 |         98 |        467 |
| server/api/square/customers                                                                                                    |          1 |         25 |          0 |          6 |         31 |
| server/api/square/orders                                                                                                       |          2 |         79 |         12 |         27 |        118 |
| server/api/square/products                                                                                                     |          2 |        199 |          7 |         34 |        240 |
| server/api/upload                                                                                                              |          1 |         47 |          6 |         14 |         67 |
| server/api/user                                                                                                                |          3 |         57 |         21 |         17 |         95 |
| server/api/utils                                                                                                               |          1 |          6 |          0 |          5 |         11 |
| server/routes                                                                                                                  |          2 |         28 |          0 |          9 |         37 |
| stores                                                                                                                         |          5 |        836 |         33 |         81 |        950 |
| utils                                                                                                                          |          3 |         48 |         59 |         15 |        122 |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                       | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/README.md                                                         | Markdown           |         11 |          0 |          7 |         18 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/app.vue                                                           | Vue                |         16 |          0 |          2 |         18 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/assets/css/main.css                                               | CSS                |         61 |          1 |          7 |         69 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/assets/emails/new_user.html                                       | HTML               |         43 |          0 |          0 |         43 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/assets/js/uikit.min.js                                            | JavaScript         |          1 |          0 |          1 |          2 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/assets/scss/lib/instello.scss                                     | SCSS               |        831 |        129 |         57 |      1,017 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/assets/scss/lib/square.scss                                       | SCSS               |        105 |          3 |         23 |        131 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/assets/scss/lib/tailwind.scss                                     | SCSS               |      5,576 |        182 |      1,468 |      7,226 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/assets/scss/variables.scss                                        | SCSS               |          0 |          0 |          1 |          1 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/assets/style/main.scss                                            | SCSS               |         74 |          7 |         15 |         96 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/account/EditAddress.vue                                | Vue                |      1,686 |         56 |         51 |      1,793 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/account/EditPersonal.vue                               | Vue                |         89 |          0 |          3 |         92 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/account/Orders.vue                                     | Vue                |         66 |         12 |          7 |         85 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/account/PaymentMethods.vue                             | Vue                |        355 |         32 |         49 |        436 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/chat-2/app.vue                                         | Vue                |          9 |          1 |          1 |         11 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/chat-2/comp/bubble.vue                                 | Vue                |          1 |          0 |          0 |          1 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/chat-2/comp/launcher.vue                               | Vue                |         14 |          1 |          1 |         16 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/chat-2/comp/messenger.vue                              | Vue                |          3 |          0 |          0 |          3 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/chat/app-legacy.vue                                    | Vue                |          9 |          1 |          1 |         11 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/chat/app.vue                                           | Vue                |          9 |          1 |          1 |         11 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/chat/comp/bubble-legacy.vue                            | Vue                |         36 |          5 |          7 |         48 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/chat/comp/bubble.vue                                   | Vue                |         36 |          5 |          7 |         48 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/chat/comp/launcher.vue                                 | Vue                |         14 |          1 |          1 |         16 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/chat/comp/messenger-legacy.vue                         | Vue                |        127 |          9 |         15 |        151 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/chat/comp/messenger.vue                                | Vue                |        131 |          9 |         22 |        162 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/common/AppBar.vue                                      | Vue                |        126 |          9 |         10 |        145 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/common/FriendCard.vue                                  | Vue                |        111 |         25 |         17 |        153 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/common/comment_thread.vue                              | Vue                |        192 |         24 |         51 |        267 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/common/icons/customSvgs.js                             | JavaScript         |         10 |          0 |          2 |         12 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/common/icons/medium.vue                                | Vue                |         20 |          1 |          2 |         23 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/common/reactions.vue                                   | Vue                |        116 |          7 |         16 |        139 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/dashboard/MemberCard.vue                               | Vue                |         45 |          7 |          5 |         57 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/products/CartCard.vue                                  | Vue                |         58 |          1 |          5 |         64 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/products/ProductCard.vue                               | Vue                |        106 |          7 |         15 |        128 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/template/Nav.vue                                       | Vue                |        399 |         69 |         61 |        529 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/template/components/friend-requests/friend_request.vue | Vue                |        106 |          9 |         17 |        132 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/template/components/search/Modal.vue                   | Vue                |        176 |         12 |         25 |        213 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/components/template/components/search/SearchMemberResult.vue      | Vue                |        115 |         28 |         20 |        163 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/composables/custom_fetch.ts                                       | TypeScript         |          7 |          0 |          1 |          8 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/directives/tooltip.ts                                             | TypeScript         |          4 |          0 |          2 |          6 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/hooks/fetch.ts                                                    | TypeScript         |         11 |          0 |          4 |         15 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/layouts/default.vue                                               | Vue                |          8 |          1 |          1 |         10 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/layouts/inner.vue                                                 | Vue                |          9 |          1 |          1 |         11 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/layouts/inner_legacy.vue                                          | Vue                |          9 |          1 |          1 |         11 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/lire-moi.md                                                       | Markdown           |         42 |          0 |         22 |         64 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/middleware/auth.js                                                | JavaScript         |          7 |          0 |          1 |          8 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/middleware/guest.js                                               | JavaScript         |          7 |          0 |          1 |          8 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/nuxt.config.ts                                                    | TypeScript         |        187 |         17 |          4 |        208 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/package-lock.json                                                 | JSON               |     16,533 |          0 |          1 |     16,534 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/package.json                                                      | JSON               |         64 |          0 |          1 |         65 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/account/account_legacy.vue                                  | Vue                |         48 |          2 |          6 |         56 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/account/components/AddressCard.vue                          | Vue                |        160 |         11 |         26 |        197 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/account/components/NewPaymentInterface.vue                  | Vue                |        230 |         33 |         65 |        328 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/account/components/OrderCard.vue                            | Vue                |         33 |          4 |         12 |         49 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/account/components/PaymentMethodCard.vue                    | Vue                |         90 |         13 |         21 |        124 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/account/index.vue                                           | Vue                |        556 |         23 |        104 |        683 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/cart/components/ProductCard.vue                             | Vue                |         63 |          5 |          6 |         74 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/cart/index.vue                                              | Vue                |         89 |          8 |         15 |        112 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/checkout/index.vue                                          | Vue                |        953 |        141 |        122 |      1,216 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/checkout/index_legacy.vue                                   | Vue                |        346 |         51 |         45 |        442 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/confirm-email/index.vue                                     | Vue                |         41 |          0 |          2 |         43 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/confirm-order/index.vue                                     | Vue                |          3 |          0 |          0 |          3 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/forgot-password/index.vue                                   | Vue                |         75 |         13 |          8 |         96 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/friends/components/FeedTab.vue                              | Vue                |         14 |          2 |          4 |         20 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/friends/components/Invite.vue                               | Vue                |        523 |         74 |         46 |        643 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/friends/components/MyFriendsTab.vue                         | Vue                |        434 |         81 |         48 |        563 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/friends/components/MyProfileTab.vue                         | Vue                |         14 |          2 |          4 |         20 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/friends/index.vue                                           | Vue                |        263 |         16 |         20 |        299 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/home/components/FeedCard.vue                                | Vue                |        109 |          8 |         31 |        148 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/home/components/Invite.vue                                  | Vue                |        509 |         74 |         47 |        630 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/home/components/MyFriendsTab.vue                            | Vue                |        434 |         81 |         48 |        563 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/home/components/MyProfileTab.vue                            | Vue                |         14 |          2 |          4 |         20 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/home/index.vue                                              | Vue                |        342 |         31 |         48 |        421 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/index/index.vue                                             | Vue                |        116 |          8 |         12 |        136 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/members/[id].vue                                            | Vue                |        547 |         56 |         79 |        682 |
| /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend/pages/members/components/ImageDropzone.vue                        | Vue                |        119 |          9 |         24 |        152 |
